                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1723,                 4.0806,                 4.2617,                0.00282,                0.59524,                  0.005,                0.00132,                 2.7673,                 4.1743,                 4.1584,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.2495,                 3.9767,                 4.2114,                 0.0029,                0.60714,                0.01164,                0.00312,                 2.7663,                  4.176,                 4.1571,             0.00017822,             0.00017822,             0.00017822
                      3,                 3.2115,                 4.0056,                  4.221,                0.00282,                0.59524,                0.01278,                0.00317,                 2.7649,                 4.1782,                 4.1543,             0.00027446,             0.00027446,             0.00027446
                      4,                 3.3752,                 4.1262,                 4.1864,                0.00287,                0.59524,                 0.0088,                0.00187,                 2.7643,                 4.1784,                 4.1513,             0.00036871,             0.00036871,             0.00036871
                      5,                 3.1978,                 3.8937,                 4.1741,                0.00277,                0.58333,                 0.0077,                0.00175,                 2.7636,                 4.1781,                 4.1459,             0.00046099,             0.00046099,             0.00046099
                      6,                 3.1306,                 3.8197,                 4.1418,                0.00276,                0.58333,                0.01731,                0.00291,                 2.7628,                 4.1754,                 4.1415,             0.00055129,             0.00055129,             0.00055129
                      7,                 3.2683,                  3.852,                 4.1158,                0.00265,                0.58333,                0.02024,                0.00515,                 2.7612,                 4.1566,                 4.1327,             0.00063961,             0.00063961,             0.00063961
                      8,                 3.1313,                 3.6971,                 4.0674,                0.00275,                0.59524,                0.01191,                0.00283,                 2.7592,                 4.1315,                 4.1275,             0.00072595,             0.00072595,             0.00072595
                      9,                 3.0386,                 3.7243,                 3.9758,                0.00271,                0.59524,                 0.0446,                0.00847,                 2.7519,                 4.0641,                 4.1197,              0.0008103,              0.0008103,              0.0008103
                     10,                 3.1434,                 3.6799,                 3.9391,                0.00269,                0.59524,                0.03076,                0.00695,                 2.7434,                 4.0569,                 4.1366,             0.00089268,             0.00089268,             0.00089268
                     11,                 3.2271,                  3.581,                 3.8993,                0.00264,                0.59524,                0.03543,                0.00815,                 2.7567,                 4.0958,                 4.1533,             0.00097308,             0.00097308,             0.00097308
                     12,                 3.3198,                  3.633,                   3.85,                0.00267,                0.59524,                0.03522,                0.00813,                 2.7497,                 4.0656,                 4.1947,              0.0010515,              0.0010515,              0.0010515
                     13,                 3.0253,                 3.5618,                  3.724,                0.00267,                0.59524,                0.03284,                0.00754,                 2.7542,                 4.0254,                  4.222,              0.0011279,              0.0011279,              0.0011279
                     14,                 3.1017,                 3.5671,                 3.7128,                0.00266,                0.59524,                0.03162,                0.00761,                 2.7314,                 4.0013,                 4.2354,              0.0012024,              0.0012024,              0.0012024
                     15,                 2.9682,                 3.5309,                 3.6361,                0.00267,                0.59524,                  0.048,                 0.0091,                 2.7671,                 4.0336,                 4.3204,              0.0012749,              0.0012749,              0.0012749
                     16,                 3.0333,                 3.5011,                 3.6029,                0.00275,                0.58333,                 0.0185,                0.00379,                 2.7739,                 4.0894,                 4.3778,              0.0013454,              0.0013454,              0.0013454
                     17,                 3.1528,                 3.6809,                  3.611,                0.00289,                0.55952,                0.00872,                0.00217,                 2.7714,                 4.1346,                 4.4751,              0.0014139,              0.0014139,              0.0014139
                     18,                 3.0161,                 3.4611,                  3.491,                0.00298,                0.52381,                0.00723,                0.00191,                 2.7919,                 4.1968,                  4.543,              0.0014804,              0.0014804,              0.0014804
