                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0439,                 2.8187,                 3.0667,                0.23829,                0.33249,                 0.1981,                0.05555,                 2.4756,                 2.3938,                 2.8047,                0.00026,                0.00026,                0.00026
                      2,                 2.9162,                 2.6027,                 2.9781,                0.27068,                 0.3199,                0.23449,                0.06529,                 2.4535,                 2.5966,                 2.7676,             0.00053822,             0.00053822,             0.00053822
                      3,                 2.8053,                 2.5428,                 2.9154,                0.26312,                0.22418,                0.15713,                0.05304,                 2.4645,                 2.7225,                 2.9449,             0.00081459,             0.00081459,             0.00081459
                      4,                 2.7032,                 2.4514,                 2.7898,                0.29715,                0.26196,                0.20375,                0.06074,                 2.5073,                 2.5487,                 2.8972,              0.0010891,              0.0010891,              0.0010891
                      5,                 2.7852,                 2.5361,                 2.8373,                0.22927,                0.29471,                0.17298,                0.04813,                 2.3883,                 2.6126,                 2.7157,              0.0013618,              0.0013618,              0.0013618
                      6,                 2.6824,                 2.4881,                 2.7871,                0.23437,                0.33753,                0.20381,                0.07442,                 2.3473,                 2.8817,                 2.6653,              0.0016326,              0.0016326,              0.0016326
                      7,                 2.7017,                  2.532,                 2.8352,                0.33358,                0.35013,                0.28477,                 0.0939,                 2.4527,                  2.835,                 2.7382,              0.0019016,              0.0019016,              0.0019016
                      8,                 2.6397,                 2.3905,                 2.8045,                0.20365,                0.28536,                0.16354,                0.05374,                 2.4484,                 2.5086,                 2.7795,              0.0019538,              0.0019538,              0.0019538
                      9,                 2.5949,                 2.2708,                 2.6797,                0.14547,                0.45592,                 0.1614,                0.05617,                  2.335,                 2.6385,                 2.6875,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.5382,                 2.2663,                 2.7027,                0.33982,                 0.4534,                0.30809,                0.09025,                 2.4411,                 2.6623,                 2.7818,              0.0019472,              0.0019472,              0.0019472
                     11,                 2.4878,                 2.2423,                  2.697,                0.22613,                0.33501,                0.21326,                0.07043,                 2.4268,                  2.664,                 2.6977,              0.0019406,              0.0019406,              0.0019406
                     12,                 2.4584,                 2.2046,                 2.6511,                0.27199,                 0.3073,                0.23016,                0.07409,                 2.3664,                 6.0244,                 2.7712,               0.001934,               0.001934,               0.001934
                     13,                 2.4668,                 2.2464,                 2.6271,                0.22842,                0.30982,                0.18184,                0.05505,                 2.3567,                 5.5681,                 2.6837,              0.0019274,              0.0019274,              0.0019274
                     14,                 2.4314,                 2.1356,                 2.5767,                0.49717,                 0.3728,                0.38329,                0.12841,                 2.2756,                 2.4304,                 2.6349,              0.0019208,              0.0019208,              0.0019208
                     15,                 2.4474,                 2.0917,                 2.6118,                0.29507,                0.35768,                0.24317,                0.07497,                 2.4104,                 2.2818,                 2.7271,              0.0019142,              0.0019142,              0.0019142
                     16,                 2.4346,                  2.126,                 2.6589,                0.17864,                0.29219,                  0.117,                0.03014,                 2.8147,                 4.2206,                 3.4051,              0.0019076,              0.0019076,              0.0019076
                     17,                 2.4203,                 2.1086,                  2.636,                0.51721,                0.42821,                0.40532,                0.15109,                 2.2229,                 2.3846,                 2.6719,               0.001901,               0.001901,               0.001901
                     18,                 2.3766,                 2.1674,                 2.5492,                0.36443,                 0.4593,                0.32722,                0.10653,                 2.3542,                 2.7708,                 2.8815,              0.0018944,              0.0018944,              0.0018944
                     19,                 2.3963,                 2.0946,                 2.6059,                0.36298,                0.36272,                0.30601,                0.08837,                 2.3888,                 2.5306,                 2.7494,              0.0018878,              0.0018878,              0.0018878
                     20,                 2.3247,                 2.0702,                  2.561,                0.43578,                0.46348,                0.41374,                0.14734,                 2.1741,                  2.087,                  2.609,              0.0018812,              0.0018812,              0.0018812
                     21,                 2.3083,                 2.0658,                 2.5641,                0.43841,                  0.468,                0.45682,                0.16945,                 2.1553,                 2.0792,                 2.5756,              0.0018746,              0.0018746,              0.0018746
                     22,                 2.3324,                 2.0572,                 2.5874,                0.37441,                0.43829,                0.38427,                 0.1305,                  2.194,                 1.9803,                 2.6098,               0.001868,               0.001868,               0.001868
                     23,                 2.2769,                 2.0221,                 2.5323,                0.47956,                0.47103,                 0.4251,                0.13617,                 2.1853,                 2.0108,                 2.5839,              0.0018614,              0.0018614,              0.0018614
                     24,                 2.2814,                 2.0743,                 2.5086,                0.59354,                0.50024,                0.54622,                0.18788,                 2.2346,                 1.8492,                 2.6204,              0.0018548,              0.0018548,              0.0018548
                     25,                 2.2822,                 2.0163,                 2.4863,                0.54753,                0.49622,                0.54821,                0.20125,                 2.1147,                   1.79,                 2.5417,              0.0018482,              0.0018482,              0.0018482
                     26,                 2.2753,                 1.9283,                 2.4747,                0.56045,                 0.5466,                0.57219,                0.22072,                 2.0331,                 1.8516,                 2.4998,              0.0018416,              0.0018416,              0.0018416
                     27,                 2.2796,                 1.8969,                 2.5036,                0.64387,                 0.4937,                0.57835,                0.22536,                 2.0835,                 1.7671,                 2.5368,               0.001835,               0.001835,               0.001835
                     28,                 2.2329,                 1.9573,                 2.5089,                 0.5129,                 0.5066,                0.50367,                0.16266,                 2.3946,                 1.9386,                 2.8474,              0.0018284,              0.0018284,              0.0018284
