                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1723,                 4.0806,                 4.2617,                0.00282,                0.59524,                  0.005,                0.00132,                 2.7673,                 4.1743,                 4.1584,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.2498,                 3.9769,                 4.2113,                0.00291,                0.60714,                0.01152,                0.00249,                 2.7663,                  4.176,                 4.1571,             0.00017555,             0.00017555,             0.00017555
                      3,                 3.2166,                 4.0079,                 4.2247,                0.00289,                0.59524,                0.01388,                0.00298,                 2.7649,                 4.1782,                 4.1543,             0.00026614,             0.00026614,             0.00026614
                      4,                 3.3799,                 4.1263,                 4.1996,                0.00283,                0.59524,                0.01302,                0.00228,                 2.7639,                 4.1784,                 4.1513,             0.00035179,             0.00035179,             0.00035179
                      5,                   3.18,                 3.9028,                 4.1727,                0.00284,                0.59524,                0.00736,                0.00175,                 2.7624,                 4.1775,                 4.1457,             0.00043248,             0.00043248,             0.00043248
                      6,                 3.1308,                 3.8352,                 4.1418,                0.00277,                0.58333,                0.01077,                0.00237,                 2.7609,                 4.1745,                 4.1414,             0.00050822,             0.00050822,             0.00050822
                      7,                 3.2632,                 3.8854,                 4.1252,                0.00273,                0.59524,                0.01159,                0.00272,                  2.759,                 4.1551,                 4.1329,             0.00057902,             0.00057902,             0.00057902
                      8,                 3.1679,                 3.7252,                 4.0905,                0.00272,                0.59524,                0.01328,                0.00352,                 2.7562,                 4.1342,                 4.1285,             0.00064486,             0.00064486,             0.00064486
                      9,                 3.0599,                 3.7171,                 4.0027,                0.00271,                0.59524,                0.01159,                0.00271,                 2.7518,                 4.0793,                 4.1225,             0.00070576,             0.00070576,             0.00070576
                     10,                 3.1763,                 3.6494,                 3.9582,                0.00268,                0.59524,                0.02552,                0.00744,                 2.7408,                 4.0593,                 4.1271,             0.00076171,             0.00076171,             0.00076171
                     11,                 3.2273,                 3.5616,                 3.9224,                0.00256,                0.58333,                0.03068,                 0.0078,                 2.7527,                 4.0912,                 4.1184,              0.0008127,              0.0008127,              0.0008127
                     12,                  3.325,                 3.5967,                 3.8819,                0.00254,                0.58333,                0.03196,                0.00768,                 2.7357,                 4.0572,                 4.1317,             0.00085875,             0.00085875,             0.00085875
                     13,                 3.0507,                 3.5455,                 3.7787,                0.00258,                0.59524,                0.03213,                 0.0078,                  2.723,                 4.0217,                 4.1627,             0.00089984,             0.00089984,             0.00089984
                     14,                   3.13,                 3.5728,                 3.7675,                0.00258,                0.59524,                 0.0309,                0.00749,                 2.6977,                  3.997,                  4.193,             0.00093599,             0.00093599,             0.00093599
                     15,                 2.9725,                 3.5381,                 3.6578,                0.00258,                0.59524,                0.02683,                0.00689,                 2.7022,                 4.0271,                 4.2377,             0.00096718,             0.00096718,             0.00096718
