                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 3.0011,                 3.4815,                 3.6342,                0.00259,                0.59524,                0.02622,                0.00692,                 2.7166,                 4.0361,                 4.2781,             0.00099343,             0.00099343,             0.00099343
                     17,                 3.1593,                  3.714,                 3.6765,                0.00281,                0.54762,                0.02606,                 0.0064,                 2.7488,                 4.0424,                 4.3853,              0.0010147,              0.0010147,              0.0010147
                     18,                 3.0012,                 3.4375,                 3.5253,                0.00323,                0.54762,                0.02634,                0.00534,                 2.7557,                 4.0965,                 4.4353,              0.0010311,              0.0010311,              0.0010311
                     19,                 3.0591,                  3.558,                 3.6013,                0.00447,                0.38095,                0.01844,                 0.0041,                 2.7754,                 4.1248,                  4.481,              0.0010425,              0.0010425,              0.0010425
                     20,                 2.9538,                 3.4719,                 3.4703,                0.00524,                0.30952,                0.01007,                0.00256,                 2.7825,                 4.1821,                 4.4436,              0.0010489,              0.0010489,              0.0010489
                     21,                 3.1696,                 3.4827,                 3.5454,                0.00572,                0.32143,                0.02276,                0.00789,                 2.7788,                 4.1731,                 4.3872,                0.00101,                0.00101,                0.00101
                     22,                 2.7823,                 3.3481,                 3.4117,                0.00333,                 0.0119,                0.02269,                0.00789,                 2.7679,                 4.1734,                 4.3659,                0.00101,                0.00101,                0.00101
                     23,                 2.9556,                 3.5225,                 3.4806,                0.00535,                 0.0119,                0.02192,                 0.0092,                 2.7869,                 4.1839,                 4.3984,              0.0009605,              0.0009605,              0.0009605
                     24,                 2.8883,                 3.3858,                 3.4404,                0.00507,                0.36905,                0.00615,                0.00193,                 2.7891,                 4.1836,                 4.4146,               0.000911,               0.000911,               0.000911
                     25,                 2.8834,                 3.3597,                 3.3754,                0.00369,                 0.0119,                0.00903,                0.00233,                 2.7806,                 4.1748,                 4.3804,              0.0008615,              0.0008615,              0.0008615
                     26,                 3.0112,                 3.3261,                 3.3981,                0.00719,                 0.0119,                0.00784,                0.00226,                 2.7484,                  4.157,                 4.3509,               0.000812,               0.000812,               0.000812
                     27,                 3.0905,                 3.2916,                 3.4706,                0.01468,                0.08333,                0.00742,                0.00213,                 2.7359,                 4.1623,                 4.3529,              0.0007625,              0.0007625,              0.0007625
                     28,                 3.0185,                 3.1734,                 3.3577,                0.00374,                0.52381,                0.00623,                0.00171,                 2.8337,                 4.1485,                 4.4622,               0.000713,               0.000713,               0.000713
                     29,                 2.9478,                 3.1718,                 3.3172,                 0.0036,                0.52381,                0.00603,                0.00166,                 2.8309,                  4.133,                  4.454,              0.0006635,              0.0006635,              0.0006635
                     30,                 2.8533,                 3.1661,                 3.2778,                 0.0037,                0.55952,                0.00802,                0.00199,                 2.7759,                 4.1268,                 4.3865,               0.000614,               0.000614,               0.000614
                     31,                 2.8619,                 3.7799,                  3.238,                0.00384,                0.60714,                0.01005,                0.00233,                 2.6661,                 4.1361,                 4.2409,              0.0005645,              0.0005645,              0.0005645
                     32,                 2.6251,                 3.5988,                 3.2704,                0.00403,                0.70238,                0.02154,                0.00561,                 2.4356,                 4.0045,                 3.7471,               0.000515,               0.000515,               0.000515
                     33,                 2.7795,                 3.5367,                 3.1724,                0.00409,                 0.7381,                0.02795,                0.00755,                 2.4207,                 3.9054,                 3.6167,              0.0004655,              0.0004655,              0.0004655
                     34,                 2.6021,                 3.5851,                 3.1458,                0.00414,                 0.7619,                0.04135,                0.01249,                 2.3926,                 3.8433,                 3.5178,               0.000416,               0.000416,               0.000416
                     35,                 2.6181,                 3.4541,                 3.0947,                0.16765,                0.13095,                0.06629,                0.01929,                 2.3635,                 3.8267,                 3.4393,              0.0003665,              0.0003665,              0.0003665
                     36,                  2.624,                 3.4427,                 3.1503,                0.04638,                0.35714,                0.08541,                0.02507,                 2.3666,                  3.672,                 3.2717,               0.000317,               0.000317,               0.000317
                     37,                 2.6435,                 3.3825,                 3.1599,                 0.1943,                0.20238,                0.11578,                0.03292,                 2.3961,                 3.5859,                 3.2041,              0.0002675,              0.0002675,              0.0002675
                     38,                 2.5474,                 3.3407,                 3.1288,                0.27724,                0.08333,                0.11319,                0.03173,                 2.4368,                 3.4918,                 3.1534,               0.000218,               0.000218,               0.000218
                     39,                 2.5704,                 3.3455,                 3.0962,                0.25125,                0.08333,                 0.1075,                0.03088,                 2.4452,                 3.4391,                 3.1114,              0.0001685,              0.0001685,              0.0001685
                     40,                 2.6776,                 3.4349,                 3.2116,                0.17817,                0.08333,                0.09242,                0.03042,                 2.4655,                 3.3886,                 3.0923,               0.000119,               0.000119,               0.000119
