                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2341,                 2.9934,                 3.1796,                0.32219,                0.33227,                0.22172,                0.06387,                 2.5729,                 2.4045,                 2.9279,                0.00018,                0.00018,                0.00018
                      2,                 3.0226,                 2.5942,                 3.0411,                0.26132,                0.29712,                0.20294,                0.05266,                 2.4954,                 2.4961,                 2.8572,             0.00037875,             0.00037875,             0.00037875
                      3,                  2.907,                 2.4392,                 2.9001,                0.32965,                0.41214,                 0.3119,                0.08608,                 2.5187,                 2.6084,                 2.8918,             0.00057617,             0.00057617,             0.00057617
                      4,                  2.883,                 2.4064,                 2.8783,                0.31631,                 0.3738,                0.27316,                0.08672,                   2.33,                 2.1646,                 2.7543,             0.00077228,             0.00077228,             0.00077228
                      5,                 2.7818,                 2.4087,                 2.7807,                0.25596,                0.34824,                0.20937,                0.06326,                 2.4059,                 2.2334,                 2.7893,             0.00096706,             0.00096706,             0.00096706
                      6,                 2.7881,                 2.3068,                 2.8173,                0.38159,                0.46965,                0.34558,                0.11288,                 2.3082,                  2.016,                 2.7049,              0.0011605,              0.0011605,              0.0011605
                      7,                 2.7842,                 2.2667,                 2.7683,                0.29433,                 0.3131,                0.22433,                0.07384,                 2.4444,                 2.3667,                 2.8735,              0.0013527,              0.0013527,              0.0013527
                      8,                 2.6616,                 2.2076,                 2.6907,                0.31188,                0.36741,                0.26345,                0.07905,                 2.5031,                 2.1872,                  2.831,              0.0015435,              0.0015435,              0.0015435
                      9,                 2.6446,                  2.237,                 2.6579,                0.15601,                0.44409,                0.13348,                0.03786,                 2.5709,                 2.4499,                 2.8789,               0.001733,               0.001733,               0.001733
                     10,                 2.5738,                 2.2943,                  2.638,                0.39936,                 0.4984,                0.43612,                0.15249,                 2.3079,                 2.1877,                 2.7657,              0.0019212,              0.0019212,              0.0019212
                     11,                 2.5624,                 2.1777,                 2.7059,                0.37121,                0.47284,                0.37645,                0.12184,                 2.3682,                 1.9749,                 2.7569,               0.001934,               0.001934,               0.001934
                     12,                 2.6238,                 2.2011,                 2.7022,                0.54584,                0.48381,                0.47181,                0.15898,                 2.3079,                 1.8979,                 2.8133,               0.001934,               0.001934,               0.001934
                     13,                 2.5933,                  2.103,                 2.6849,                0.47299,                0.47284,                0.42382,                0.13557,                  2.265,                 1.9278,                 2.7055,              0.0019274,              0.0019274,              0.0019274
                     14,                 2.5331,                 2.0608,                 2.5505,                0.45638,                0.49521,                0.42075,                0.12274,                 2.4697,                 1.8553,                 2.8656,              0.0019208,              0.0019208,              0.0019208
                     15,                 2.5457,                 2.0364,                 2.5958,                0.48893,                0.48882,                 0.4271,                0.11649,                 2.6793,                 1.8652,                 2.9862,              0.0019142,              0.0019142,              0.0019142
                     16,                 2.4109,                  1.971,                 2.5408,                 0.5212,                0.49521,                0.48995,                0.14231,                 2.5032,                 1.7782,                 2.7867,              0.0019076,              0.0019076,              0.0019076
                     17,                  2.416,                 1.8797,                 2.4972,                0.52589,                0.54929,                0.50605,                0.15264,                 2.3953,                 1.7824,                 2.7043,               0.001901,               0.001901,               0.001901
                     18,                 2.4482,                 1.8914,                 2.5137,                 0.3268,                0.45048,                0.29071,                0.09368,                 2.2046,                 2.0758,                 2.5177,              0.0018944,              0.0018944,              0.0018944
                     19,                 2.3742,                 1.9452,                  2.518,                0.36061,                0.48882,                0.33781,                0.10009,                 2.3326,                 1.9315,                 2.7062,              0.0018878,              0.0018878,              0.0018878
                     20,                 2.4223,                 1.8458,                  2.534,                 0.3067,                0.46645,                0.29488,                 0.0824,                 2.4691,                 1.9933,                 2.8379,              0.0018812,              0.0018812,              0.0018812
                     21,                 2.3584,                 1.7938,                 2.5329,                0.51428,                0.55272,                0.50425,                0.16035,                 2.2865,                 1.8737,                 2.6396,              0.0018746,              0.0018746,              0.0018746
                     22,                 2.4211,                 1.8665,                  2.519,                 0.6737,                0.56069,                0.60449,                0.20843,                 2.1709,                 1.7166,                 2.5091,               0.001868,               0.001868,               0.001868
                     23,                 2.3487,                 1.8173,                 2.4777,                0.56816,                0.58466,                0.55241,                0.18058,                 2.2945,                 1.7198,                 2.5915,              0.0018614,              0.0018614,              0.0018614
                     24,                 2.3165,                 1.8385,                 2.4343,                0.53375,                0.56869,                0.53279,                0.18011,                 2.1338,                 1.7591,                 2.5006,              0.0018548,              0.0018548,              0.0018548
                     25,                  2.314,                 1.8576,                 2.4213,                 0.5314,                0.54633,                0.49721,                0.17016,                 2.2343,                 1.8046,                 2.6329,              0.0018482,              0.0018482,              0.0018482
                     26,                  2.376,                 1.8142,                 2.4649,                 0.5527,                0.47923,                0.48995,                0.16411,                 2.2485,                 1.8637,                 2.6054,              0.0018416,              0.0018416,              0.0018416
                     27,                 2.3096,                  1.849,                 2.4297,                0.55826,                0.57508,                0.49765,                0.15544,                   2.29,                 1.6828,                 2.7279,               0.001835,               0.001835,               0.001835
                     28,                 2.3923,                 1.7506,                 2.5056,                0.64492,                0.58608,                 0.6343,                0.22763,                 2.0812,                 1.6179,                 2.4756,              0.0018284,              0.0018284,              0.0018284
                     29,                 2.2988,                 1.7887,                 2.4985,                0.57283,                0.53994,                 0.5433,                0.15452,                 2.4028,                 1.7354,                 2.7363,              0.0018218,              0.0018218,              0.0018218
                     30,                 2.3419,                  1.764,                 2.4472,                 0.5688,                0.61022,                0.59318,                0.21151,                  2.059,                 1.6496,                  2.468,              0.0018152,              0.0018152,              0.0018152
                     31,                 2.2405,                 1.7653,                 2.3723,                 0.6241,                0.61531,                0.60735,                0.20624,                 2.1677,                 1.6677,                  2.496,              0.0018086,              0.0018086,              0.0018086
                     32,                 2.2763,                  1.815,                 2.4209,                0.66209,                0.66773,                0.66368,                0.25447,                 1.9932,                 1.6252,                 2.3846,               0.001802,               0.001802,               0.001802
                     33,                 2.2499,                 1.7293,                 2.3917,                0.61763,                0.58831,                0.58889,                0.22427,                 2.0816,                 1.6644,                 2.4678,              0.0017954,              0.0017954,              0.0017954
                     34,                 2.2545,                 1.7043,                 2.4581,                0.65467,                0.59962,                 0.6385,                0.22775,                 2.1248,                 1.6883,                 2.5322,              0.0017888,              0.0017888,              0.0017888
                     35,                 2.2506,                 1.7156,                 2.3808,                0.66091,                0.64217,                0.65373,                0.23892,                 2.0471,                 1.6577,                 2.4415,              0.0017822,              0.0017822,              0.0017822
                     36,                 2.2133,                 1.7078,                 2.4086,                0.67374,                0.63336,                0.65696,                 0.2405,                 2.0596,                 1.6239,                 2.4274,              0.0017756,              0.0017756,              0.0017756
                     37,                 2.1803,                 1.7488,                 2.3636,                0.66594,                0.67511,                0.69548,                0.25459,                 2.0306,                 1.5431,                 2.3743,               0.001769,               0.001769,               0.001769
                     38,                 2.2109,                 1.7223,                  2.335,                0.64704,                0.68051,                0.67854,                0.25054,                 2.0386,                  1.654,                 2.3977,              0.0017624,              0.0017624,              0.0017624
                     39,                 2.2077,                 1.7137,                 2.3769,                0.68438,                0.72204,                 0.7112,                 0.2723,                 1.9857,                 1.5147,                 2.3617,              0.0017558,              0.0017558,              0.0017558
                     40,                 2.1871,                 1.6335,                 2.3519,                0.74498,                0.62939,                0.70704,                0.26205,                 1.9931,                 1.8075,                 2.3555,              0.0017492,              0.0017492,              0.0017492
